participant_id,video_no,conflict,action,scale_score,item5_score
7,3,葛藤なし,成功あり,2.25,3
8,3,葛藤なし,成功あり,6.5,6
9,3,葛藤なし,成功あり,3.75,4
10,3,葛藤なし,成功あり,5.25,6
11,3,葛藤なし,成功あり,5.0,5
12,3,葛藤なし,成功あり,3.5,7
13,3,葛藤なし,成功あり,4.25,3
14,3,葛藤なし,成功あり,3.5,4
15,3,葛藤なし,成功あり,6.0,6
16,3,葛藤なし,成功あり,2.75,3
17,3,葛藤なし,成功あり,5.5,7
18,3,葛藤なし,成功あり,5.5,2
19,3,葛藤なし,成功あり,5.5,6
20,3,葛藤なし,成功あり,5.0,2
21,3,葛藤なし,成功あり,2.75,5
22,3,葛藤なし,成功あり,5.25,6
23,3,葛藤なし,成功あり,6.0,6
24,3,葛藤なし,成功あり,3.0,3
25,3,葛藤なし,成功あり,4.25,5
26,3,葛藤なし,成功あり,5.25,6
27,3,葛藤なし,成功あり,1.25,2
28,3,葛藤なし,成功あり,3.0,3
29,3,葛藤なし,成功あり,3.75,2
30,3,葛藤なし,成功あり,5.25,6
31,3,葛藤なし,成功あり,2.0,2
32,3,葛藤なし,成功あり,3.25,4
33,3,葛藤なし,成功あり,4.75,5
34,3,葛藤なし,成功あり,4.5,5
35,3,葛藤なし,成功あり,4.5,5
36,3,葛藤なし,成功あり,5.0,5
37,3,葛藤なし,成功あり,2.25,2
38,3,葛藤なし,成功あり,2.25,3
39,3,葛藤なし,成功あり,4.0,5
40,3,葛藤なし,成功あり,1.5,1
41,3,葛藤なし,成功あり,5.0,5
42,3,葛藤なし,成功あり,1.75,2
43,3,葛藤なし,成功あり,4.5,5
44,3,葛藤なし,成功あり,3.25,4
45,3,葛藤なし,成功あり,5.0,5
46,3,葛藤なし,成功あり,5.5,6
47,3,葛藤なし,成功あり,5.0,5
48,3,葛藤なし,成功あり,4.75,5
49,3,葛藤なし,成功あり,4.5,6
50,3,葛藤なし,成功あり,2.0,2
51,3,葛藤なし,成功あり,6.5,6
52,3,葛藤なし,成功あり,4.0,4
53,3,葛藤なし,成功あり,3.75,4
54,3,葛藤なし,成功あり,5.5,6
55,3,葛藤なし,成功あり,3.0,3
56,3,葛藤なし,成功あり,2.0,2
57,3,葛藤なし,成功あり,6.0,6
58,3,葛藤なし,成功あり,3.25,5
59,3,葛藤なし,成功あり,4.75,5
60,3,葛藤なし,成功あり,3.75,5
61,3,葛藤なし,成功あり,4.25,4
62,3,葛藤なし,成功あり,4.5,5
63,3,葛藤なし,成功あり,4.5,5
64,3,葛藤なし,成功あり,6.0,6
65,3,葛藤なし,成功あり,2.25,2
66,3,葛藤なし,成功あり,5.75,6
67,3,葛藤なし,成功あり,5.5,5
68,3,葛藤なし,成功あり,5.75,5
69,3,葛藤なし,成功あり,5.0,4
70,3,葛藤なし,成功あり,3.25,5
71,3,葛藤なし,成功あり,4.75,5
1,4,葛藤なし,成功なし,5.25,6
2,4,葛藤なし,成功なし,5.75,6
3,4,葛藤なし,成功なし,6.25,6
4,4,葛藤なし,成功なし,2.75,2
5,4,葛藤なし,成功なし,4.75,4
6,4,葛藤なし,成功なし,4.0,4
7,4,葛藤なし,成功なし,5.5,7
8,4,葛藤なし,成功なし,6.5,7
9,4,葛藤なし,成功なし,3.75,4
10,4,葛藤なし,成功なし,6.0,7
11,4,葛藤なし,成功なし,5.0,5
12,4,葛藤なし,成功なし,5.5,7
13,4,葛藤なし,成功なし,5.25,3
14,4,葛藤なし,成功なし,2.5,4
15,4,葛藤なし,成功なし,6.0,6
16,4,葛藤なし,成功なし,3.5,3
17,4,葛藤なし,成功なし,6.75,7
18,4,葛藤なし,成功なし,1.0,3
19,4,葛藤なし,成功なし,5.5,6
20,4,葛藤なし,成功なし,2.0,2
21,4,葛藤なし,成功なし,2.75,2
22,4,葛藤なし,成功なし,6.25,6
23,4,葛藤なし,成功なし,5.75,6
24,4,葛藤なし,成功なし,5.75,6
25,4,葛藤なし,成功なし,5.0,5
26,4,葛藤なし,成功なし,5.5,5
27,4,葛藤なし,成功なし,1.0,1
28,4,葛藤なし,成功なし,3.0,5
29,4,葛藤なし,成功なし,5.0,5
30,4,葛藤なし,成功なし,5.25,6
31,4,葛藤なし,成功なし,3.5,2
32,4,葛藤なし,成功なし,5.5,5
33,4,葛藤なし,成功なし,4.75,5
34,4,葛藤なし,成功なし,5.0,5
35,4,葛藤なし,成功なし,4.0,5
36,4,葛藤なし,成功なし,5.0,5
37,4,葛藤なし,成功なし,5.0,6
38,4,葛藤なし,成功なし,2.5,3
39,4,葛藤なし,成功なし,3.75,6
40,4,葛藤なし,成功なし,5.75,6
41,4,葛藤なし,成功なし,5.0,5
42,4,葛藤なし,成功なし,2.0,2
43,4,葛藤なし,成功なし,3.75,3
44,4,葛藤なし,成功なし,3.25,3
45,4,葛藤なし,成功なし,5.0,5
46,4,葛藤なし,成功なし,5.75,6
47,4,葛藤なし,成功なし,3.5,5
48,4,葛藤なし,成功なし,4.75,5
49,4,葛藤なし,成功なし,4.5,5
50,4,葛藤なし,成功なし,2.5,3
51,4,葛藤なし,成功なし,6.5,6
52,4,葛藤なし,成功なし,4.0,4
53,4,葛藤なし,成功なし,1.5,1
54,4,葛藤なし,成功なし,7.0,7
55,4,葛藤なし,成功なし,3.0,2
56,4,葛藤なし,成功なし,5.5,5
57,4,葛藤なし,成功なし,6.0,6
58,4,葛藤なし,成功なし,5.25,5
59,4,葛藤なし,成功なし,4.0,5
60,4,葛藤なし,成功なし,3.5,4
61,4,葛藤なし,成功なし,4.0,5
62,4,葛藤なし,成功なし,5.5,5
63,4,葛藤なし,成功なし,5.25,5
64,4,葛藤なし,成功なし,6.5,6
65,4,葛藤なし,成功なし,2.5,2
66,4,葛藤なし,成功なし,6.25,5
67,4,葛藤なし,成功なし,5.0,5
68,4,葛藤なし,成功なし,6.25,6
69,4,葛藤なし,成功なし,4.5,5
70,4,葛藤なし,成功なし,6.0,6
71,4,葛藤なし,成功なし,5.0,5
