participant_id,video_no,conflict,action,scale_score,item5_score
30,3,葛藤なし,成功あり,2.75,5
31,3,葛藤なし,成功あり,4.25,4
32,3,葛藤なし,成功あり,4.75,3
33,3,葛藤なし,成功あり,5.25,7
34,3,葛藤なし,成功あり,5.0,5
35,3,葛藤なし,成功あり,1.0,1
36,3,葛藤なし,成功あり,4.25,5
37,3,葛藤なし,成功あり,1.0,1
38,3,葛藤なし,成功あり,4.5,4
39,3,葛藤なし,成功あり,6.25,6
40,3,葛藤なし,成功あり,3.75,5
41,3,葛藤なし,成功あり,3.75,2
42,3,葛藤なし,成功あり,1.75,1
43,3,葛藤なし,成功あり,5.75,6
44,3,葛藤なし,成功あり,4.0,4
45,3,葛藤なし,成功あり,4.25,4
46,3,葛藤なし,成功あり,5.25,5
47,3,葛藤なし,成功あり,1.0,1
48,3,葛藤なし,成功あり,5.75,5
49,3,葛藤なし,成功あり,3.75,2
50,3,葛藤なし,成功あり,6.25,6
51,3,葛藤なし,成功あり,2.0,2
52,3,葛藤なし,成功あり,1.0,3
53,3,葛藤なし,成功あり,4.25,5
54,3,葛藤なし,成功あり,6.75,7
55,3,葛藤なし,成功あり,4.25,5
1,4,葛藤なし,成功なし,3.0,3
2,4,葛藤なし,成功なし,4.5,4
3,4,葛藤なし,成功なし,3.75,5
4,4,葛藤なし,成功なし,3.75,2
5,4,葛藤なし,成功なし,5.0,5
6,4,葛藤なし,成功なし,6.0,7
7,4,葛藤なし,成功なし,4.75,5
8,4,葛藤なし,成功なし,2.75,2
9,4,葛藤なし,成功なし,2.0,2
10,4,葛藤なし,成功なし,2.5,1
11,4,葛藤なし,成功なし,4.0,4
12,4,葛藤なし,成功なし,4.25,5
13,4,葛藤なし,成功なし,3.25,3
14,4,葛藤なし,成功なし,3.25,3
15,4,葛藤なし,成功なし,1.25,2
16,4,葛藤なし,成功なし,6.5,6
17,4,葛藤なし,成功なし,2.0,2
18,4,葛藤なし,成功なし,4.25,5
19,4,葛藤なし,成功なし,3.5,5
20,4,葛藤なし,成功なし,6.0,7
21,4,葛藤なし,成功なし,6.25,6
22,4,葛藤なし,成功なし,4.0,4
23,4,葛藤なし,成功なし,5.0,5
24,4,葛藤なし,成功なし,3.75,6
25,4,葛藤なし,成功なし,4.0,4
26,4,葛藤なし,成功なし,1.75,4
27,4,葛藤なし,成功なし,2.75,2
28,4,葛藤なし,成功なし,6.0,6
29,4,葛藤なし,成功なし,4.5,5
30,4,葛藤なし,成功なし,6.0,2
31,4,葛藤なし,成功なし,3.25,4
32,4,葛藤なし,成功なし,4.5,5
33,4,葛藤なし,成功なし,2.0,1
34,4,葛藤なし,成功なし,5.0,5
35,4,葛藤なし,成功なし,1.0,1
36,4,葛藤なし,成功なし,4.0,6
37,4,葛藤なし,成功なし,1.75,2
38,4,葛藤なし,成功なし,5.25,5
39,4,葛藤なし,成功なし,6.25,6
40,4,葛藤なし,成功なし,5.75,6
41,4,葛藤なし,成功なし,5.25,5
42,4,葛藤なし,成功なし,2.5,1
43,4,葛藤なし,成功なし,4.25,5
44,4,葛藤なし,成功なし,4.0,4
45,4,葛藤なし,成功なし,5.5,6
46,4,葛藤なし,成功なし,5.0,5
47,4,葛藤なし,成功なし,1.0,1
48,4,葛藤なし,成功なし,3.0,2
49,4,葛藤なし,成功なし,4.0,4
50,4,葛藤なし,成功なし,5.5,6
51,4,葛藤なし,成功なし,6.25,5
52,4,葛藤なし,成功なし,2.75,2
53,4,葛藤なし,成功なし,5.0,5
54,4,葛藤なし,成功なし,4.75,7
55,4,葛藤なし,成功なし,4.25,5
